사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,좌표정보(x),좌표정보(y),COL1,COL2,COL3
심학산야영장,경기도 파주시 서패동 178-18,경기도 파주시 돌곶이길 57 (서패동),10883,산,캠핑,가족,3,173192.8033,467986.2455,,,
플레이랜드 캠핑장,경기도 파주시 광탄면 영장리 90,경기도 파주시 광탄면 보광로538번길 21,10953,바다,이지캠핑,키즈,3,191962.3619,472585.007,,,
광명 도덕산 캠핑장,경기도 광명시 하안동 549번지,경기도 광명시 밤일안로42번길 69 (하안동),14260,호수,카라반,반려동물,3,187595.6807,439694.1233,,,
불태산야영장,전라남도 장성군 진원면 진원리 584-1,전라남도 장성군 진원면 고산로 61-164,57245,산,캠핑,가족,11,185072.7075,198565.9474,,,
횡성노다지야영장,강원도 횡성군 청일면 춘당리 216-1번지 해오름살림학교,"강원도 횡성군 청일면 춘당로 232, 해오름살림학교",25253,강,글램핑,연인,4,302197.2533,457878.5449,,,
모꼬지캠핑장,전라북도 김제시 금산면 쌍용리 546-55,전라북도 김제시 금산면 모악로 167-16,54347,바다,이지캠핑,키즈,9,200913.7891,246571.9024,,,
청계동 솔바람 야영장,전라남도 곡성군 곡성읍 신기리 1061-3번지,전라남도 곡성군 곡성읍 청계동로 415-46,57526,호수,카라반,반려동물,11,223947.6807,201058.2503,,,
아리솔캠핑장,전라남도 곡성군 고달면 고달리 860번지,전라남도 곡성군 고달면 고산로 343-23,57546,산,캠핑,가족,11,233338.4422,199426.4648,,,
목사골야영장,전라남도 곡성군 목사동면 용봉리 425번지,전라남도 곡성군 목사동면 용봉길 91-109,57554,강,글램핑,연인,11,228455.8959,178585.6436,,,
하늘나리 캠핑장,전라남도 곡성군 죽곡면 하한리 685,전라남도 곡성군 죽곡면 상한길 255-4,57551,바다,이지캠핑,키즈,11,236203.5521,184671.23,,,
염포야영장,전라남도 고흥군 봉래면 외초리 311번지 야영장,"전라남도 고흥군 봉래면 우주로 3844, 야영장",59570,호수,카라반,반려동물,11,245366.923,103704.1447,,,
팔영산 자연휴양림 야영장,전라남도 고흥군 영남면 우천리 산 350-1번지,전라남도 고흥군 영남면 팔영로 1347-418,59521,산,캠핑,가족,11,240524.9343,124827.3448,,,
나로힐링캠핑장,전라남도 고흥군 봉래면 외초리 333-1,전라남도 고흥군 봉래면 우주로 3810-7,59570,강,글램핑,연인,11,245217.4537,103986.2545,,,
돌고래오토캠핑장,충청남도 태안군 남면 몽산리 661-4번지,충청남도 태안군 남면 몽대로 512-21,32152,바다,이지캠핑,키즈,7,134633.0482,352796.2331,,,
반딧불이캠핑장,경상북도 경주시 산내면 대현리 197,경상북도 경주시 산내면 대현길 250-13,38187,산,캠핑,가족,16,387622.5487,247834.5283,,,
흙내음 글램핑,경상남도 통영시 도산면 원산리 156-1,경상남도 통영시 도산면 원산길 338,53000,강,글램핑,연인,17,325077.7029,160696.3533,,,
에이원 글램핑,경상남도 통영시 산양읍 신전리 1401,경상남도 통영시 산양읍 산양중앙로 168,53086,바다,이지캠핑,키즈,17,328626.6108,145586.1749,,,
통영캠핑스토리,경상남도 통영시 산양읍 신전리 1229번지,경상남도 통영시 산양읍 봉전상촌길 46,53086,호수,카라반,반려동물,17,329115.5584,143938.4184,,,
파라다이스 캠핑장,경상남도 통영시 욕지면 서산리 40-1,경상남도 통영시 욕지면 유동길 111 (파라다이스),53100,강,글램핑,연인,17,313934.2964,125263.3239,,,
욜로캠프,경기도 연천군 전곡읍 양원리 660-3,경기도 연천군 전곡읍 양원로 108-37,11040,바다,이지캠핑,키즈,3,201798.0062,498290.4361,,,
알멕스랜드캠핑장,경기도 연천군 왕징면 무등리 135,경기도 연천군 왕징면 왕산로218번길 25-100,11044,호수,카라반,반려동물,3,200562.0037,507966.6724,,,
금강산랜드 야영장,경기도 파주시 월롱면 위전리 89-1 미래개발,"경기도 파주시 월롱면 도감로 130, 금강산랜드",10946,산,캠핑,가족,3,182314.6091,476542.8903,,,
돌산캠핑장,경기도 파주시 광탄면 방축리 429-10,경기도 파주시 광탄면 산수골길 151-68,10831,바다,이지캠핑,키즈,3,186001.6802,478762.4781,,,
